DATE,TIME,CONTENT
1/1/2016,0:00," 66 million primary school-age children attend classes hungry across the developing world, with 23 million in Africa alone #ZeroHunger #SDGs       "
1/1/2016,0:11, Empowering youths with entrepreneurial skills is a new feature of the #SDGs that wasnt part of #MDGs #entrepreneurs'pic.twitter.com/GpzvDEAhlv       
1/1/2016,0:15," Nation-wide ownership, and multi-stakeholders commitment and partnerships, a crucial way towards #SDGs . https://twitter.com/TalktoMina/status/682827267928621057??       "
1/1/2016,0:15, Every minute a child dies of a water-related disease. Safe #water for all can change this. #UN #SDGs #6is1  http://dld.bz/dVcZG?       
1/1/2016,0:20, Universal health coverage cuts across all of the health-related Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,0:20, Health in 2015: From Millenium Development Goals to Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,0:21," Happy, healthy New Year! Let's make the world a better place in #2016! Imagine... as John Lennon sang.. #GlobalGoals @GlobalGoalsUN #SDGs       "
1/1/2016,0:24," Can we include Sports in the #SDGs via Goal 3 ensure healthy lives and promote wellbeing for all at all ages"" #SDGsSport ""      "
1/1/2016,0:24, #Sports development and the elimination of gender disparities in sports should have been included in Goal 4 of the #SDGs. Why wasn't?       
1/1/2016,0:30," More #SDGs action from Delta State, Nigeria https://twitter.com/SDGsDeltaNGR/status/682840806789623809??       "
1/1/2016,0:39, UN on #SDGs Paper by @unanl is out! http://paper.li/UNANL/1336552654?edition_id=3b3e07c0-b063-11e5-a58f-0cc47a0d15fd?? Stories via @EKayitesi @hhrjournal @elidalbania       
1/1/2016,0:42, How many of you have told your family about the #SDGs? Your children? Advocacy starts in your home! #TellEveryonepic.twitter.com/BxtxWl2ELM       
1/1/2016,0:44, Here are the highlights and facts about #GlobalGoals #SDGs #COP21 http://www.globalgoals.org/?pic.twitter.com/vfy0NEBRLb       
1/1/2016,0:52, (1/2) #SDGs starts  UN ushers in ambitious 2030 Sustainable Development Goals https://shar.es/16H4Ii? via @sharethis       
1/1/2016,1:00, #SDGs launch today! #Goal3 Ensure healthy lives & promote wellbeing for all at all ages http://bit.ly/1R5xkk7? #GlobalGoals       
1/1/2016,1:00, First tweet of #2016 - let?s go back to basics: How much do you know about Sustainable Development Goals? http://www.globalgoals.org? #SDGs       
1/1/2016,1:10," .@FarmRadio uses radio for improving #nutrition & behavior change interventions, more at: http://bit.ly/1IBbyDA? #Africa #agriculture #SDGs       "
1/1/2016,1:12," We can make 2016 a year of accomplishment..."" - #UNSG #GlobalGoals #SDGs #UNCDF #GlobalGoalsUNpic.twitter.com/GujmRPCXjG ""      "
1/1/2016,1:15, Have we forgotten the 'hands that feed us'? Their voice is must in #SDGs 2030 http://bit.ly/1OfWnSr? #developmentjustice #integratedDev       
1/1/2016,1:15, Check out the five elements of the #SDGs! @UN @GlobalGoalsUN #GlobalGoalspic.twitter.com/1fxOmIDBUV       
1/1/2016,1:17," The #GlobalGoals year for global development is here. To me, no #SDGs without #EndPoverty realisation. We shall talk about it tomorrow.       "
