下午4:41 - 2017年4月30日," Some great news for the planet's #forests #SDGs https://twitter.com/un/status/858827310442717184?? "
下午3:48 - 2017年4月30日," #NoPoverty by 2030. UN #SDGs. UBS Report coming soon. Share now! https://cards.twitter.com/cards/18ce53ybmt6/30jah?? "
下午3:21 - 2017年4月30日," 2155 Manchester Apt to Sheffield due 2307: 2155 Manchester Apt to Sheffield due 2307 has been delayed at Earles Sdgs S.B. & is now 16 mins? "
下午2:59 - 2017年4月30日," A3 printer warming up for this. Nice one. Hats off to artist methinks. #SDGs https://twitter.com/JulieBrown01/status/858736370734559233?? "
下午2:54 - 2017年4月30日," Dwell upon this a bit. It's relevant and quite cool! # SDGS @IDEAScotland @_afairerworldhttps://twitter.com/TeachSDGs/status/858761057644539904?? "
下午2:35 - 2017年4月30日," @SplufikNG join us in driving #SDGs in quality education via #IAC17 for kids in public secondary school . Let's change their storypic.twitter.com/epPNRjOLxU "
下午2:33 - 2017年4月30日," @eLDeeTheDon & @obiasika too did the same. We had a tweet chat with him on @sdgsSaturday - on #SDGs and the music industry creating jobs. https://twitter.com/NnamdiUmunna/status/858796007055863808?? "
下午2:30 - 2017年4月30日," That's not true. Kate @HenshawKate put forward her support for the #SDGs esp #SDG8 and youth employment through creative arts in 2015.https://twitter.com/NnamdiUmunna/status/858794212996861952?? "
下午2:24 - 2017年4月30日," Great to see @yemialadee about the #globalgoals . Few artistes ( or none) in Nigeria have done it. Pls go further by doing song for #SDGs . https://twitter.com/yemialadee/status/858394245966725121?? "
下午2:20 - 2017年4月30日," Yes... we've begun sales of our #kido_bamboo_bikes. #Green_means_business. Support the #SDGs if you're in these... http://fb.me/6ccKu4C6O? "
下午2:18 - 2017年4月30日," We continue to champion Citizen Inclusion as a means to achieving SDGs. #SocialContract #Awareness #Unity #Resilience Via @EUinKenyahttps://twitter.com/europeaid/status/856878362421329920?? "
下午2:18 - 2017年4月30日," On a particularly lazy Sunday, I love this "Lazy person's guide to saving the world." http://www.un.org/sustainabledevelopment/takeaction/?? #SDGs "
下午2:16 - 2017年4月30日," the youth are a major means through which the #SDGs can be achieved. lets use the youth!! https://twitter.com/YouthSDGs/status/856870651302469632?? "
下午2:09 - 2017年4月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午2:09 - 2017年4月30日," 0We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午1:54 - 2017年4月30日," There's a strong link between SDGs 4 & 5 to addresss societal issues. @SDSNYouth @Mandy_Sanghera1 @MarlouHermsen @GhOneTV @MTNGhana @MKisOKpic.twitter.com/Aes2HDoI9S "
下午1:53 - 2017年4月30日," RT "@GuardianSustBiz Quiz: how much do you know about the sustainable development goals? #SDGs http://hubs.ly/H07fqNr0?" "
下午1:52 - 2017年4月30日," Innovation Challenge + Social Innovators = #SDGs Success. Read my blog on Innovation Challenge  @PhilSDGs @UNDPGhana @UnKenya @hiltonfound "
下午1:32 - 2017年4月30日," Goal 12: Implementing Sustainability Into Your Existing Lean & Six Sigma Program http://bit.ly/2i1y4KB? #SDGs #sustainability #sigma #leanpic.twitter.com/wIXx6Bo5jB "
下午1:28 - 2017年4月30日," Sunrise Academy needs your help!! https://youtu.be/PtzCjgvq13c? #psychology #health #houston #philanthropy #noew2017 #sdgs #csr #mentalhealth "
下午1:25 - 2017年4月30日," Sustainable development requires a healthy ocean. Achieving any of the @UN #SDGs requires a healthy ocean. http://bit.ly/ngblog43? #Goal14 "
下午1:25 - 2017年4月30日," @undgdoco @Gml2001 latest #Bigdataguidance on #SDGs. Very useful 4 our SDG country level work https://twitter.com/gml2001/status/858118258272202752?? "
下午1:22 - 2017年4月30日," .@europeaid #localgov & associations have been active in #globalgoals awareness campaigns, now working on localising #SDGs @GlobalTaskforcehttps://twitter.com/europeaid/status/858631778935898112?? "
下午1:20 - 2017年4月30日," .@MarrShow @AndrewMarr9 just watched #May - I would pay more tax to save #nhs & #schools. Empty mandate on issues at home #HideAwayMay #SDGs "
下午1:15 - 2017年4月30日," Teaching the SDGs ? 17 Goals to Transform Our World and Our Classrooms https://lnkd.in/fhVRckp? "
下午1:14 - 2017年4月30日," Why Deep Dive Fishing is a risky business - by FAO Director http://buff.ly/2pkk7g7? #Fishing #Diving #Sdgs pic.twitter.com/ZAaRVDk3ae "
下午1:13 - 2017年4月30日," The latest hiromix_a's twipper! http://paper.li/hiromix_a?edition_id=73a38fc0-2de1-11e7-8fd1-0cc47a0d15fd?? #????????? #sdgs "
下午1:09 - 2017年4月30日," Why Deep Dive Fishing is a risky business - by FAO Director http://buff.ly/2pkk7g7? #Fishing #Diving #Sdgs pic.twitter.com/SWVHTwGbG0 "
下午1:05 - 2017年4月30日," Neglect of higher education in the SDGs http://www.universityworldnews.com/article.php?story=20170427064053237?? "
下午12:58 - 2017年4月30日," Dreaming SDGs, and wretched occupational safety of workers! https://shar.es/1F45i3? "
下午12:57 - 2017年4月30日," The latest ?? youhei! http://paper.li/youhei_n?edition_id=38deec60-2ddf-11e7-8fd1-0cc47a0d15fd?? Thanks to @Kaori830 @hiromochidayo #??????? #sdgs "
下午12:55 - 2017年4月30日," You may know what the Sustainable #Development Goals are, but does your neighbour? http://bit.ly/2oMK21k? Mobilising citizens for the #SDGs pic.twitter.com/oDRmJyjfak "
下午12:50 - 2017年4月30日," Could Islamic Finance effectively finance the quest for the #Sustainable Development Goals? #SDGs http://ow.ly/3sB030b40aZ? "
下午12:46 - 2017年4月30日," @BNPParibasCIB Alain Papiasse: fully committed & aligned with UN #SDGs goals. Proof it, or do you share values? https://www.theguardian.com/commentisfree/2017/mar/07/breitbart-threat-to-europe-postwar-liberal-consensus?? "
下午12:46 - 2017年4月30日," Good to gopic.twitter.com/HNzQQQ4yZX "
下午12:43 - 2017年4月30日," RT @1000days: .@WorldBank maps out the progress made towards the #SDGs through it's new... http://bit.ly/2ptw0Rt? by #craigaatkinson "
下午12:36 - 2017年4月30日," SDGs and higher education - leaving many behind #highered #SDGs http://bit.ly/2pxUSYz? "
下午12:35 - 2017年4月30日," Plus understanding HOW to effect CHANGE- the theory, political & social processes & "in practice"  @UNDP @UNEP #SDGs @SDGactionhttps://twitter.com/wef/status/858656940112654336?? "
下午12:32 - 2017年4月30日," Investing in adolescents #SRHR #Education can bring a huge return of investment. #Empowerment #SDGs "
下午12:21 - 2017年4月30日," 10 reasons why engaging with the #SDGs is so great for schools #TeachSDGs... https://www.linkedin.com/pulse/teaching-sdgs-17-goals-transform-our-world-classrooms-marshall?? by #TheWorldsLesson "
下午12:20 - 2017年4月30日," This @SustDev wheel is brilliant: http://devinfo-cloud.com/sdgindiA/sdgindia-beta/?? #impact #sustainability #SDGs "
下午12:19 - 2017年4月30日," Spoken & signed #multilingualism with professional translators, interpreters & terminologists are key to success of #SDGs #2039Agenda!https://twitter.com/undgacm_en/status/858089265976266752?? "
下午12:17 - 2017年4月30日," 10 @VarkeyFdn Ambassadors & their students will be part of a global student-centered project http://humandifferences.com? focussing on some SDGs pic.twitter.com/fOBLfO8t2s "
下午12:14 - 2017年4月30日," Curious how the #Netherlands are doing regarding #SDGs? https://t.co/mr2KKEqfJV?amp=1 "
下午12:11 - 2017年4月30日," Don't miss this #tweetchat tomorrow. My good brother/friend @seunonigbinde will be sharing experience on #SDGs with @AfrYPoD #AfriYoDChatpic.twitter.com/CicfiQRpKy "
下午12:09 - 2017年4月30日," Partner of the Week @Aflatoun: Network for Education Children and Youth (NECY), #SriLanka. #SDG4 #SDGs #Education http://www.aflatoun.org/partner-week-necy-sri-lanka/??pic.twitter.com/pNLCGa2aou "
下午12:09 - 2017年4月30日," 25M+ People are dying of #Famine - Now! - Here: http://buff.ly/2oMABPA? UNReliefChief Unicef #sdgs #healthpic.twitter.com/T2OzOwteuJ "
下午12:08 - 2017年4月30日," Why companies are applying UN Guiding Principles #UNGPs on #BizHumanRights & committing to #SDGs? http://bit.ly/2qivvL1? #biz #CSR #susty "
下午12:07 - 2017年4月30日," So want to join in! #plasticban #saveouroceans #SDGs #GlobalGoals #Goal14pic.twitter.com/3bReaddOFg "
下午12:00 - 2017年4月30日," #Agenda2030: To eradicate #extremepoverty the ultra-poor need to be reached. #SDGs #inequality http://ow.ly/WYKV30bi1GG?pic.twitter.com/vqdgd97nGQ "
上午11:58 - 2017年4月30日," Education Solutions- Initiative for the Era of SDGs International Education and Training? https://www.instagram.com/p/BThTjboFGb3/? "
上午11:42 - 2017年4月30日," Tax Inspectors Without Borders: Helping countries like #Liberia tap domestic wealth for achievement of the #SDGs https://www.youtube.com/watch?v=3fv-Z1V8cv8?? "
上午11:33 - 2017年4月30日," Perhaps the vision of UNDP, should be around the theme of ?leave no one beyond? applied through all the SDGs. http://fb.me/6N62hihwB? "
上午11:30 - 2017年4月30日," @ossap_sdgs I  will via  our office in Nigeria "
上午11:28 - 2017年4月30日," Your abilities can take you to the top, but it is your character that will keep you there.#houston #noew2017 #sdgs #csr #mentalhealth "
上午11:26 - 2017年4月30日," The share of unearmarked overseas aid untied to businesses in donor countries drops 2nd time in 2yrs- @OECD http://www.publicfinanceinternational.org/news/2017/04/oecd-highlights-backsliding-untied-aid?? #SDGs "
上午11:13 - 2017年4月30日," RT GirlsNotBrides "#Childmarriage is a major obstacle to achieving #genderequality and the #SDGs http://bit.ly/2omff7j? via ProthomAlo" "
上午11:12 - 2017年4月30日," If the world doesn't invest in girls & #women,we will not achieve the #SDGs.Join @phumzileunwomen & #DeliverForGood. http://deliverforgood.org?pic.twitter.com/677DqPvWBv "
上午11:12 - 2017年4月30日," #Childmarriage is a major obstacle to achieving #genderequality and the #SDGs http://bit.ly/2omff7j? via @ProthomAlo "
上午11:05 - 2017年4月30日," @MindThe_GapNG pls kindly assist @hadiza_mati "
上午11:04 - 2017年4月30日," Invest in Family Planning to Achieve the SDGs, Avert Natural Disasters, and Ensure Sustaina? http://pdf.usaid.gov? http://pdf.usaid.gov/pdf_docs/PA00MPKV.pdf?? "
