下午4:56 - 2017年6月30日," 10 key recommendations on #HumanRights #bizhumanrights in #SDGs presented at #OECDrbc Forum & to... http://www.ohchr.org/Documents/Issues/Business/Session18/InfoNoteWGBHR_SDGRecommendations.pdf?? by #NessZim "
下午4:37 - 2017年6月30日," #ICTs = catalyst to achieve #SDGs and specifically #SDG 5 to achieve gender equality & financial #growthpic.twitter.com/ucZTYQZUJL "
下午4:27 - 2017年6月30日," Foreign Minister Brantley leads delegation to Caribbean Regional Conference on the SDGs - ZIZ Live http://dlvr.it/PRLNq4? #SDGs pic.twitter.com/ZStd777i7I "
下午4:17 - 2017年6月30日," Regional #disability #advocacy has 2 go beyond #NDIS transition #SDGs http://ab.co/2tuESZe?pic.twitter.com/99DnN5MaTQ "
下午4:12 - 2017年6月30日," Hearing loss a key #Aboriginal #justice issue #SDGs #SDG3 #SDG16 http://ab.co/2tv69KV?pic.twitter.com/Fk3ObURXhd "
下午3:56 - 2017年6月30日," Germany introduces massive hate speech social media fines #SDG10 #SDG16 #SDGs #CSR #ICThttp://www.bbc.co.uk/news/technology-40444354?? "
下午3:38 - 2017年6月30日," Financial sustainability key for #SDG3 as @NHS ponders free prescriptions 4 long-term ill #SDGs http://www.bbc.co.uk/news/health-40431800?? "
下午3:36 - 2017年6月30日," It had been great working with you .@AminaJMohammed. Thank you! We'll keep pushing for #ClimateAction and #SDGs pic.twitter.com/tJ9AOTdYju "
下午3:30 - 2017年6月30日," Investing in #agriculture transforms lives by reducing hunger & poverty http://bit.ly/2spMyeG? #zerohunger #SDGs by #Mogazapic.twitter.com/QjEx4fE4OF "
下午3:26 - 2017年6月30日," you are a true role model for #SDGs for #YouthParticipation towards #GlobalCitizenship  "
下午3:17 - 2017年6月30日," #Evangelist! Share the gospel, build math skills and help countries reach their #SDGs https://www.amazon.com/Bible-Math-Numbers-Counting-Workbook/dp/0989462714/ref=pd_bxgy_14_img_2?_encoding=UTF8&pd_rd_i=0989462714&pd_rd_r=YD2STBE4936ASDPWBM4M&pd_rd_w=AD334&pd_rd_wg=txfnK&psc=1&refRID=YD2STBE4936ASDPWBM4M?? #Christianity "
下午3:15 - 2017年6月30日," #Missionary! Share the gospel, #TeachEnglish and help countries reach their #SDGs https://www.amazon.com/Bible-Phonics-B-C-Alphabet-Workbook/dp/0989462706?? #Ministry "
下午3:13 - 2017年6月30日," Thanks all for great discussions about participatory methods for achieving SDGs. I enjoyed talking about the @RECAP_H2020 project with you "
