下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
下午3:58 - 2017年11月30日," New post: Report Ranks EU Countries on ICT, SDGs Huawei and collaborators launc http://data.measurementmedianetwork.com/?p=145280? "
下午3:57 - 2017年11月30日," @ColumbiaSIPA so great to see athletes join in the fight to achieve the #SDGs https://twitter.com/andreagassi/status/935933765326553088?? "
下午3:55 - 2017年11月30日," New report from @ilo on #socialprotection! A must-read if you are interested in #global #socialsecurity and #SDGs. https://twitter.com/ilo/status/935979185339846656?? "
下午3:55 - 2017年11月30日," #India needs to build #solar #electricity storage system: Researcher There is a mismatch between peak demand and electricity generation period for solar, said Nitya Nanda, Fellow & Area Convenor at the Centre for Resource Efficiency and Governance in @teriin #SDG7 #SDGs pic.twitter.com/bmvX46bUky "
下午3:49 - 2017年11月30日," The ?Wicked Problem? of water scarcity is also being addressed by the UN through one of its SDGs, specifically Goal 6, which aims to ensure access to water and sanitation for all.   #upsts7am @jcgosj  Img src: http://UN.org?pic.twitter.com/t3tCOwPCrL "
下午3:47 - 2017年11月30日," This one step a head towards SDGs https://twitter.com/ReplyTariq/status/936244495242465282?? "
下午3:41 - 2017年11月30日," Involved or interested in becoming involved in a #PPP in #Africa? Do yourself a favor and register for 2018 #AFRICAPPP hosted by @AMETrade in #CapeTown, #SouthAfrica - #infrastructure #energy #agriculture #sustainability #impactinvesting #SDGs https://twitter.com/africappp/status/936165504322080769?? "
下午3:35 - 2017年11月30日," Need a break? The @adaptationfund ten year anniversary publication is a great read with some very powerful insights into how through partnerships, we are working toward achieving the #ParisGoals, #NoHunger, #NoPoverty and other #SDGs. https://www.adaptation-fund.org/document/adaptation-fund-10-years-innovation-action-learning/??pic.twitter.com/opZSTKs5O0 "
下午3:35 - 2017年11月30日," We have several #PhD scholarships available for the Behaviour Change GRIP commencing in 2018. Details here: http://ow.ly/o39M30gVVPa? #SDGs #BehaviourChange #Educationpic.twitter.com/ySgNW3bI45 "
下午3:34 - 2017年11月30日," RT @BlueTribeCo: Webinar - How to Deliver Impact from your Research or #Sustainability Project http://crwd.fr/2AfXm3S? #sdgs #sustainablebusiness #innovation "
下午3:33 - 2017年11月30日," 2nd: Help our Humanitarian Affairs working group by hosting a field consultations in your local area, facilitate the meeting & gather data, If you're interested to host field consultations, contact hagfp@childrenyouth.org #youth #SDGs "
下午3:28 - 2017年11月30日," Webinar - How to Deliver Impact from your Research or #Sustainability Project http://crwd.fr/2AfXm3S? #sdgs #sustainablebusiness #innovation "
下午3:25 - 2017年11月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午3:20 - 2017年11月30日," Strong support from China's leadership to opening of @UNESCAP high level meeting on disability inclusive development  #MakeTheRightReal #SDGs https://twitter.com/XHNews/status/936182331559366657?? "
下午3:20 - 2017年11月30日," Check out our latest NEWSLETTER: Subsidy and Electricity Access http://ow.ly/RVhx30gVXNS? #SDGs #SDG7 #globalgoals #energy #electricity #subsidy #renewablespic.twitter.com/wjdNHOZLWx "
下午3:19 - 2017年11月30日," Check out this @Forbes piece on the philosophy behind the 2018 @Lavazza Calendar. People implementing #SDGs as cultural heroes that can communicate the urgency (and the relevance) of the #2030Agenda. Thanks @ambergib!https://twitter.com/LavazzaUSA/status/936337170759127042?? "
下午3:16 - 2017年11月30日," Just become a proud member of the @UNAUSA, looking forward to promote some good causes, SDGs and meet some great people/leaders.  Thanks @iamhasanansari for making me join this amazing organizationpic.twitter.com/4xAyUis6lt ? ? United Nations "
下午3:15 - 2017年11月30日," Reduced Inequalities: The UK Has Welcomed More Than 8,000 Syrian #Refugees #SDGs #RefugeesWelcomehttp://crwd.fr/2zn6seQ? "
下午3:10 - 2017年11月30日," #BoP #impinv Unitus Seed Fund mapping to 4 of the UN #SDGs, says it's first fund in India to do so https://www.forbes.com/sites/annefield/2017/09/30/bop-investor-unitus-seed-fund-mapping-its-impact-to-the-uns-sustainable-development-goals/#1fadd5632357?? #socentpic.twitter.com/eFNQWYdKuq "
下午3:09 - 2017年11月30日," Former #UN #Climate Chief @CFigueres to co-lead Formula E?s advisory board. #FormulaE is  player in influencing  deployment of #ElectricVehicles  & to reduce the #carbonfootprint. #cop24 #SDGs #GHG #cop23 @COP23Bonn #climatechange http://bit.ly/2AK62zE?pic.twitter.com/YYoHeguFlx "
下午3:06 - 2017年11月30日," Earlier this week, the president Bello Zailani lead a delegation of the SDGs to the Kaduna NYSC orientation Camp for sensitization and recruitment pic.twitter.com/ndvIpXgeKo "
下午3:03 - 2017年11月30日," Working to integrate the true value of nature and ecosystem services into national and sectoral policies, planning, and financing for the #SDGs #GreenGrowthhttps://twitter.com/GGKPlatform/status/936336729598021634?? "
下午2:59 - 2017年11月30日," When all SDGs fit in just one tweet... https://twitter.com/SDG2030/status/936337862290788352?? "
