發文時間,文章內容,分享內容,留言數,分享數,發文類型,likes,love,haha,wow,sad,angry,total,留言
2018-05-02 15:21:07,"Many people miss out on education, health & jobs because they don't have access to clean & affordable energy. The #SEforALLforum in Lisbon this week will work to close these energy gaps. ???

Follow here: www.seforalforum.org
More on Goal 7 of the #GlobalGoals: https://www.un.org/sustainabledevelopment/energy/",,2,7,photo,33,0,0,0,0,0,33,"['#togetherforthe?  http://www.unescoscholen.nl/blog/2018/04/30/schoolsresearchers-worldwide-wanted-for-international-research-project-abc-all-be-connected/', 'Donald J. Trump']"
2018-05-02 02:26:00,"More than 750 million people live below the international poverty line of US$1.90 a day. We can eradicate extreme poverty by 2030. ?

Why Goal 1 Matters: https://goo.gl/N1aV7S",,2,42,photo,68,2,0,1,4,0,75,"['Wishes and support from NADAM FOUNDATION', 'Wishes and support from NADAM FOUNDATION.']"
2018-05-01 19:12:09,,Global Goals for Sustainable Development shared a live video.,2,5,video,18,1,0,1,0,0,20,"['TRY HARDER', 'Donald J. Trump']"
2018-05-01 11:00:00,"How can new technologies and innovations help reduce disaster risk? Hear innovators & experts discuss the latest trends at the United Nations on 1-3 May.

? webtv.un.org 
?? bit.ly/Resilience2018
#GlobalGoals #resilienceintegrated",,0,16,photo,40,0,0,0,0,0,40,[]
2018-04-30 23:14:00,"There is arguably no single preventive health intervention more cost-effective than immunization, which prevents 2-3 million deaths each year. The World Health Organization (WHO) aims to strengthen routine immunization, accelerate control of vaccine-preventable diseases, introduce new vaccines, and spur research and development for the next generation of vaccines and technologies.#VaccinesWork

http://www.who.int/features/factfiles/immunization/en/",,2,36,photo,70,0,0,0,3,1,74,"['TRY HARDER', 'Donald J. Trump']"
2018-04-30 16:25:57,"Governments meet today through 10 May in Bonn, Germany, for the next round of UN climate change negotiations to further develop the guidelines for implementing the #ParisAgreement.

This will allow the agreement to become operational. The guidelines, or operating manual, will be finalized at this year's #COP24 in Poland and will allow the agreement to become operational. Details: https://goo.gl/rHNve1",,2,24,photo,74,3,0,0,0,0,77,"[""OKYD Ambassador welcomes news about operating manual, to be finalized at this year's #COP24 in Poland and will allow the agreement to become operational"", 'Smart Efficient Adaptable Sustainability of Modern Global Community \n...']"
2018-04-29 11:55:34,The World Bank is highlighting the transformational effects of economic mobility across generations. How has life changed since your parents or grandparents were your age? Tell your story: http://wrld.bg/OlNm30j6yo0 #InheritPossibility,,1,12,photo,53,2,0,0,0,0,55,['Letizia Borsei Krynski']
2018-04-28 11:00:00,"Want a better world? The 17 Sustainable Development Goals are the world's bold and ambitious plan to end poverty, protect the planet and ensure that all people enjoy peace and prosperity. 

We can do this. 

Learn why all 193 UN Member States signed off on this big, bold plan:  www.un.org/sustainabledevelopment #GlobalGoals ?",,9,118,photo,316,34,0,1,0,0,351,"[""OKYD Ambassador lauds and support HOPE in implementing 17 Sustainable Development Goals that are the world's bold and ambitious plan to end poverty, protect the planet and ensure that all people enjoy peace and prosperity."", ""This won't work at all. .\nReason : 1.World Nations are depending on 3.World countries to produce cheaply and supply them.."", 'Anyone who love Earth where will repay you for to co-exist shared by all\neach other in the world!', 'HOPE', 'Wishes and support from NADAM FOUNDATION.', '#GlobalGoals', 'yeah', 'Towards achieving the SDGs, we have written and published the books: A B C & 1 2 3 ON THE SDGs Campaigns and SKILLS FOR SDGs PRENEURSHIP and now available at https://www.amazon.com/author/amosobi', ""Open Letter\nWe open this open letter due to our disappointment to the Government of the Republic of Indonesia, GOVERNMENT SOUTH SUMATRA PROVINCE and GOVERNMENT OF MUSI BANYUSIN DISTRICT, our country is located in BENUA ASIA, SOUTH OF BENUA SOUTHEAST ASIA, whose countries are incorporated in ASEAN ORGANIZATION.\nWe also regret, regret, and deeply disappointed in, THE INTERNATIONAL WORLD, GENERAL SECRETARY GENERAL OF UNITED NATIONS, UNFCCC PARTICIPANTS, UNIVERSALITY UNION, UNINTERRUPTIVE, UNFCCC, NEVER help, or at least look, meet us , whether we report this is true, or just engineering, a figment.\nThrough our open letter, which we make to be known by the public, so that there is international concern about the solution, the solution to the problems we experienced, this open letter, After the letter CLOSED, letter in the AMPLOP, we give to the the following parties, in the country of representation of the Republic of Indonesia, we:\n\nTo\nDear\n1. SECRETARY GENERAL OF UNITED NATIONS\nthrough\nA. UNDP OF THE REPUBLIC OF INDONESIA, (B). UNOCHA REPUBLIC OF INDONESIA, (C). UNIDO REPUBLIC OF INDONESIA\n\n2. HEAD OF UNFCCC PARTICIPANT COUNTRIES through BIG DUTA\na. President of the United States (b). President of China (c). Prime Minister of Japan\nd. Dutch Prime Minister (e). British Prime Minister (f). Prime Minister of France\ng. Prime Minister of Australia (h). Prime minister of Norway (i) .Danish Prime Minister\nj. German Chancellor\n\n3. EUROPEAN UNION INDONESIA\n(Receipt in our Chronology photo)\n\nIN-\n           The place\nWith respect,\nApologize first,\nWe have sent letters directly to representative offices of UNITED NATIONS, EUROPEAN UNION, and ambassadors of UNFCCC participating countries in the Republic of Indonesia.\nWe report on the impacts, consequences, of forestry development in the Indonesian republic, in which forestry activities are in order to maintain the survival of all living creatures on this earth. DEMA keeps the earth temperature rise below 2 degrees, in order to keep global carbon stocks, to reduce impact greenhouse gas emissions and so on.\nIn the Paris Agreement (paris cop 21), there is agreement that the impact of the activities for the survival of all living beings on this planet is the responsibility of the whole world joined in the UNFCCC.\nWhy do the parties we have given the above report do not care about this issue, even though we have reported that forestry development in Indonesia has adversely affected the community inside and around the forest of industrial plants, on this problem forestry activities undertaken by PT. EARTH PERSADA PERMAI, APP GROUP, SINAR MAS GROUP., Whose products are pulp and paper, and marketed, exported to European Union countries, to participating countries of UNFCCC.\nAccording to what we read and hear uni europe requires the product of forest industry from indonesian must pass flegt certification, environmentally friendly product, product that does not damage the natural environment, sustainable forest development and sustainable. Why when we give report about alleged violation to:\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 16 YEAR 2016 REGARDING PARIS AGREEMENT TO THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE (PARIS AGREEMENT TO THE UNITED STATES CONVENTION OF THE NATIONS ON CLIMATE CHANGE).\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2013 REGARDING NAGOYA PRESENTATION OF PROTOCOL ON ACCESS TO GENETIC RESOURCES AND THE FAIR AND EQUITABLE SHARING OF BENEFITS ARISSING FROM THEIR UTILIZATION TO THE CONVENTION ON BIOLOGICAL DIVERSITY (NAGOYA PROTOCOL ABOUT ACCESS TO GENETIC RESOURCES AND DISTRIBUTION OF ADVANTAGES OF FAIR AND CONSIDERATIONS ARISING OUT OF THE USE OF THE BIOLOGICAL CONVENTIONS OF BIODIVERSITY)\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2005 REGARDING INTERNATIONAL CERTIFICATION OF COVENANT ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS (KOVENANINTERNASIONAL ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS)\n\nwe are very sorry, very disappointed, very sad The UNITED NATIONS, UNFCCC PARTICIPANTS COUNTRIES, EUROPEAN UNION, no matter on the problems that are the impact of forestry activities in order to maintain the survival of this planet earth.\nWe also report on our concerns with PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP, to the parties providing the audit and certification of the company's activities, but the answer we received was very disappointing, only one audit and certification company provided answers, some companies that do not respond to, respond to, our reports, about objections, refutations, rebuttal, our complaints, against the results of their assessment of PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP.\nIn addition to alleged violations of the applicable laws of the Republic of Indonesia, we have also reported on:\n1. Permasala han business land, cultivated land, community gardens that have been evicted, forced to work, in serobot by PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP.\n2. Problems graves / graves that have been dius by the PT.BPP, APP GROUP, SINAR MAS GROUP.\n3. Corporate obligations that have not been implemented, build a life plant of 20% of the working area or embedded area.\n4. Equity participation of village co-operatives.\n5.DUGAAN VIOLATION OF HUMAN RIGHTS HUMAN RIGHTS that the company did to the community. \nThere are many more problems that we convey as written in our letter, which is addressed to the ranks of the central government of the Republic of Indonesia and representatives of these countries in over in the republic of Indonesia.Because it is very painful, sad for us, our report to the ranks of the central government of the republic of indonesia, which then reply to our letter by requesting the government SOUTH SUMATERA PROVINCE through GOVERNOR, and GOVERNOR REGENCY OF MUSI NAYUASIN through its REGENT, respect, respect the local government where the company works. Through this open letter, we ask with all humility, with great respect and respect that the INTERNATIONAL WORLD may play an active role and take responsibility for the impacts of forest development in our country. We also ask the participating countries, UNFCCC MEMBER, european union, and any country that receives forest products of the Republic of Indonesia produced by APP GROUP, SINAR MAS GROUP, in order to consider, review, purchase of products. We are ready to prove to the international world what we have write, we declare, we report in our open letter, if the international world is to prove the truth of our report, and we sincerely hope that the international world will prove, investigate, check the truth of our report. So this open letter we write, sincerely hope the international community cares for our problems, in accordance with international agreements and commitments on CLIMATE CHANGE. \nREPORT OF COMMUNITY OF REPUBLIC OF INDONESIA\nMURSAL \nARJONI""]"
2018-04-27 11:41:00,"Everyone needs safe water to drink and access to decent sanitation. The UN's new #Fin4Dev report says this will take an annual US$114 billion to achieve, which is three times the historical financing trend. Countries and businesses must invest more in water. ???

Read the report: bit.ly/iatf2018 #GlobalGoals #EveryDrop",,4,44,photo,92,2,1,0,0,0,95,"[""Clean drinking water and clean Air is right as basic human right's can't be ignored..."", 'Elyana Zawaideh lets Share with Grade6 ;)', '#WaterIsLive', ""Open Letter\nAfter the letter is CLOSED, letter in the AMPLOP, we give to the parties below, in the country of representation of the Republic of Indonesia, this letter we make for and in the know by the general public:\nOur disappointment to the international community, to the united nations, to the European Union, to the heads of UNFCCC member countries, we enlarge through this letter, as our international community deserves to question the international attitude to our problems in accordance with the signed by the international world together.\nThrough this open letter, after a closed letter we give to the parties below, we question the international commitment of CLIMATE CHANGE and the impact of the FORESTRY activities to safeguard climate change, in order to maintain the survival of all living beings, the living beings on this planet .\n\nTo\nDear\n1. SECRETARY GENERAL OF UNITED NATIONS\nthrough\nA. UNDP OF THE REPUBLIC OF INDONESIA\nB. UNOCHA REPUBLIC OF INDONESIA\nC. UNIDO OF THE REPUBLIC OF INDONESIA\n\n2. HEAD OF UNFCCC PARTICIPANT COUNTRIES through BIG DUTA\na. President of the United States b. Chinese President c. Prime Minister of Japan\nd. Dutch Prime Minister e. British Prime Minister f. French Prime Minister g. Prime Minister of Australia h. Prime minister of Norway i. Danish Prime Minister\nj. German Chancellor\n\n3. EUROPEAN UNION INDONESIA\n(Receipt in our Chronology photo)\n\nIN-\nThe place\nWith respect,\nApologize first,\nWe have delivered letters directly to representative offices of UNITED NATIONS, EUROPEAN UNION, and ambassadors of UNFCCC participating countries in the Republic of Indonesia.\nWe report on the impacts, consequences, of forestry development in the Indonesian republic, in which forestry activities are in order to maintain the survival of all living creatures on this earth. DEMA keeps the earth temperature rise below 2 degrees, in order to keep global carbon stocks, to reduce impact greenhouse gas emissions and so on.\nIn the Paris Agreement (paris cop 21), there is agreement that the impact of the activities for the survival of all living beings on this planet is the responsibility of the whole world joined in the UNFCCC.\nWhy do the parties we have given the above report do not care about this issue, even though we have reported that forestry development in Indonesia has adversely affected the community inside and around the forest of industrial plants, on this problem forestry activities undertaken by PT. EARTH PERSADA PERMAI, APP GROUP, SINAR MAS GROUP., Whose products are pulp and paper, and marketed, exported to European Union countries, to participating countries of UNFCCC.\nAccording to what we read and hear uni europe requires the product of forest industry from indonesian must pass flegt certification, environmentally friendly product, product that does not damage the natural environment, sustainable forest development and sustainable. Why when we give report about alleged violation to:\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 16 YEAR 2016 REGARDING PARIS AGREEMENT TO THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE (PARIS AGREEMENT TO THE CONVENTION OF THE UNDERSTANDING UNITED STATES OF THE CLIMATE CHANGE).\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2013 REGARDING NAGOYA PRESENTATION OF PROTOCOL ON ACCESS TO GENETIC RESOURCES AND THE FAIR AND EQUITABLE SHARING OF BENEFITS ARISSING FROM THEIR UTILIZATION TO THE CONVENTION ON BIOLOGICAL DIVERSITY (NAGOYA PROTOCOL ON ACCESS TO GENETIC RESOURCES AND DISTRIBUTION OF ADVANTAGES OF FAIR AND CONSIDERATIONS ARISING OUT OF THE USE OF THE BIOLOGICAL CONVENTIONS OF BIODIVERSITY)\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2005 REGARDING INTERNATIONAL CERTIFICATION OF COVENANT ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS (KOVENANINTERNASIONAL ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS)\n\nwe are very sorry, very disappointed, very sad The UNITED NATIONS, UNFCCC PARTICIPANTS COUNTRIES, EUROPEAN UNION, no matter on the problems that are the impact of forestry activities in order to maintain the survival of this planet earth.\nWe also report on our concerns with PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP, to the parties providing the audit and certification of this company's activities, but the answer we received was very disappointing, only one audit and certification company provided answers, some companies that do not respond to, respond to, our reports, about objections, refutations, rebuttal, our complaints, against the results of their assessment of PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP.\nTo the forestry authorities in the republic of Indonesia we have reported our concerns to the ENVIRONMENTAL MINISTRY OF LIFE and FORESTRY REPUBLIC OF INDONESIA.\n1. Usage k by nature of PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP, which is suspected of not performing obligations on TAX FOREST RESOURCES PROVISION (PPSDH) and REBOIZATION FUND (DR)\n2. Planting and harvesting in watersheds (DAS).\n3. Utilization of protected areas for the benefit of nursery facilities and infrastructure.\n4. Changing landscapes by changing, transferring, bodies and river currents.\n5. Disposal of waste to the source of springs or streams. \n6. Narrowing, widening and silting the river.\n7. Problems of alleged violation of permission either by PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS ROUP and its contractor company.\nIn addition to the alleged violations of the prevailing regulations of the Republic of Indonesia, we have also reported on: \n1. Problems of business land, cultivated land, abandoned community gardens, forced labor, serobot by PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP. \n2. Problems graves / graves that have been dius by the PT.BPP, APP GROUP, SINAR MAS GROUP.\n3. Corporate obligations that have not been implemented, build a life plant of 20% of the working area or embedded area. \n4. Equity participation of village cooperatives. \n5.RESIDENCE OF HUMAN RIGHTS HUMAN RIGHTS that the company does to the public. \nThere are many more issues that we convey as stated in our letter, which is addressed to the ranks of the central government of the Republic of Indonesia and representatives of the countries mentioned above in the republic of Indonesia. It is very painful, sad for us, our report to the ranks of the central government of the republic of indonesia, which then reply our letter by requesting to the government SOUTH SUMATERA PROVINCE through GOVERNOR, and GOVERNOR REGENCY MUSI BANYUASIN through its REGENT, not respected, respect, obey by the local government where the company works. Through this open letter, we ask with all humility, with great respect and respect that the INTERNATIONAL WORLD may take an active and responsible role in the impacts of forest development in our country. We also ask the participating countries, UNFCCC MEMBER, european union, and any country that receives forest products of the Republic of Indonesia produced by APP GROUP, SINAR MAS GROUP, in order to consider, review, purchase of the product. We are ready to prove to the international world what we have written, we declare, we report in our open letter, if the international world is to prove the truth of our report, and we sincerely hope that the international world will prove, investigate, this is our report. So this open letter we write, with the hope that the international community cares for our problems, in accordance with international agreements and commitments on CLIMATE CHANGE. \nCOMMUNITY REPORTING OF THE REPUBLIC OF INDONESIA\nARJONI\nMURSAL""]"
2018-04-26 23:00:07,"#WorldIPDay celebrates the brilliance, curiosity & courage of women driving change in our world & shaping our future. Goal 9 of the #GlobalGoals will help boost resources for their innovative ideas. ow.ly/RbvP30jEy4A",,4,41,photo,108,6,1,1,0,0,116,"['YES    !', 'Da?-li Chg', 'Greg Dubela', ""Open Letter\nAfter the letter is CLOSED, letter in the AMPLOP, we give to the parties below, in the country of representation of the Republic of Indonesia, this letter we make for and in the know by the general public:\nOur disappointment to the international community, to the united nations, to the European Union, to the heads of UNFCCC member countries, we enlarge through this letter, as our international community deserves to question the international attitude to our problems in accordance with the signed by the international world together.\nThrough this open letter, after a closed letter we give to the parties below, we question the international commitment of CLIMATE CHANGE and the impact of the FORESTRY activities to safeguard climate change, in order to maintain the survival of all living beings, the living beings on this planet .\n\nTo\nDear\n1. SECRETARY GENERAL OF UNITED NATIONS\nthrough\nA. UNDP OF THE REPUBLIC OF INDONESIA\nB. UNOCHA REPUBLIC OF INDONESIA\nC. UNIDO OF THE REPUBLIC OF INDONESIA\n\n2. HEAD OF UNFCCC PARTICIPANT COUNTRIES through BIG DUTA\na. President of the United States b. Chinese President c. Prime Minister of Japan\nd. Dutch Prime Minister e. British Prime Minister f. French Prime Minister g. Prime Minister of Australia h. Prime minister of Norway i. Danish Prime Minister\nj. German Chancellor\n\n3. EUROPEAN UNION INDONESIA\n(Receipt in our Chronology photo)\n\nIN-\nThe place\nWith respect,\nApologize first,\nWe have delivered letters directly to representative offices of UNITED NATIONS, EUROPEAN UNION, and ambassadors of UNFCCC participating countries in the Republic of Indonesia.\nWe report on the impacts, consequences, of forestry development in the Indonesian republic, in which forestry activities are in order to maintain the survival of all living creatures on this earth. DEMA keeps the earth temperature rise below 2 degrees, in order to keep global carbon stocks, to reduce impact greenhouse gas emissions and so on.\nIn the Paris Agreement (paris cop 21), there is agreement that the impact of the activities for the survival of all living beings on this planet is the responsibility of the whole world joined in the UNFCCC.\nWhy do the parties we have given the above report do not care about this issue, even though we have reported that forestry development in Indonesia has adversely affected the community inside and around the forest of industrial plants, on this problem forestry activities undertaken by PT. EARTH PERSADA PERMAI, APP GROUP, SINAR MAS GROUP., Whose products are pulp and paper, and marketed, exported to European Union countries, to participating countries of UNFCCC.\nAccording to what we read and hear uni europe requires the product of forest industry from indonesian must pass flegt certification, environmentally friendly product, product that does not damage the natural environment, sustainable forest development and sustainable. Why when we give report about alleged violation to:\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 16 YEAR 2016 REGARDING PARIS AGREEMENT TO THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE (PARIS AGREEMENT TO THE CONVENTION OF THE UNDERSTANDING UNITED STATES OF THE CLIMATE CHANGE).\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2013 REGARDING NAGOYA PRESENTATION OF PROTOCOL ON ACCESS TO GENETIC RESOURCES AND THE FAIR AND EQUITABLE SHARING OF BENEFITS ARISSING FROM THEIR UTILIZATION TO THE CONVENTION ON BIOLOGICAL DIVERSITY (NAGOYA PROTOCOL ON ACCESS TO GENETIC RESOURCES AND DISTRIBUTION OF ADVANTAGES OF FAIR AND CONSIDERATIONS ARISING OUT OF THE USE OF THE BIOLOGICAL CONVENTIONS OF BIODIVERSITY)\n\nLAW OF THE REPUBLIC OF INDONESIA NUMBER 11 YEAR 2005 REGARDING INTERNATIONAL CERTIFICATION OF COVENANT ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS (KOVENANINTERNASIONAL ON ECONOMIC, SOCIAL AND CULTURAL RIGHTS)\n\nwe are very sorry, very disappointed, very sad The UNITED NATIONS, UNFCCC PARTICIPANTS COUNTRIES, EUROPEAN UNION, no matter on the problems that are the impact of forestry activities in order to maintain the survival of this planet earth.\nWe also report on our concerns with PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP, to the parties providing the audit and certification of this company's activities, but the answer we received was very disappointing, only one audit and certification company provided answers, some companies that do not respond to, respond to, our reports, about objections, refutations, rebuttal, our complaints, against the results of their assessment of PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP.\nTo the forestry authorities in the republic of Indonesia we have reported our concerns to the ENVIRONMENTAL MINISTRY OF LIFE and FORESTRY REPUBLIC OF INDONESIA.\n1. Usage k by nature of PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP, which is suspected of not performing obligations on TAX FOREST RESOURCES PROVISION (PPSDH) and REBOIZATION FUND (DR)\n2. Planting and harvesting in watersheds (DAS).\n3. Utilization of protected areas for the benefit of nursery facilities and infrastructure.\n4. Changing landscapes by changing, transferring, bodies and river currents.\n5. Disposal of waste to the source of springs or streams. \n6. Narrowing, widening and silting the river.\n7. Problems of alleged violation of permission either by PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS ROUP and its contractor company.\nIn addition to the alleged violations of the prevailing regulations of the Republic of Indonesia, we have also reported on: \n1. Problems of business land, cultivated land, abandoned community gardens, forced labor, serobot by PT.BUMI PERSADA PERMAI, APP GROUP, SINAR MAS GROUP. \n2. Problems graves / graves that have been dius by the PT.BPP, APP GROUP, SINAR MAS GROUP.\n3. Corporate obligations that have not been implemented, build a life plant of 20% of the working area or embedded area. \n4. Equity participation of village cooperatives. \n5.RESIDENCE OF HUMAN RIGHTS HUMAN RIGHTS that the company does to the public. \nThere are many more issues that we convey as stated in our letter, which is addressed to the ranks of the central government of the Republic of Indonesia and representatives of the countries mentioned above in the republic of Indonesia. It is very painful, sad for us, our report to the ranks of the central government of the republic of indonesia, which then reply our letter by requesting to the government SOUTH SUMATERA PROVINCE through GOVERNOR, and GOVERNOR REGENCY MUSI BANYUASIN through its REGENT, not respected, respect, obey by the local government where the company works. Through this open letter, we ask with all humility, with great respect and respect that the INTERNATIONAL WORLD may take an active and responsible role in the impacts of forest development in our country. We also ask the participating countries, UNFCCC MEMBER, european union, and any country that receives forest products of the Republic of Indonesia produced by APP GROUP, SINAR MAS GROUP, in order to consider, review, purchase of the product. We are ready to prove to the international world what we have written, we declare, we report in our open letter, if the international world is to prove the truth of our report, and we sincerely hope that the international world will prove, investigate, this is our report. So this open letter we write, with the hope that the international community cares for our problems, in accordance with international agreements and commitments on CLIMATE CHANGE. \nCOMMUNITY REPORTING OF THE REPUBLIC OF INDONESIA\nARJONI\nMURSAL""]"
